sample_name	birthplace	date_startcollection	cohort	mouse_line	site_line	host_age	host_age_units	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	study_topic	vivarium	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_categorical
GBS18d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.14285714	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		18a						3	GBS	4380000	257796257.8	43189368.77	40313.40034		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl277	adult	Mus musculus	5	V
GBS19d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	21.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		19a						3	GBS	6660	1270114.943	1578282.828	22941.75476		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl276	adult	Mus musculus	2	II
GBS20d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	21.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		20a						3	GBS	600	431937.1728	1539589.443	2154.123711		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl275	adult	Mus musculus	2	II
GBS21d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	21.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		21a						3	GBS	17400	155826.5583	532945.7364	10191.17647		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl274	adult	Mus musculus	2	II
GBS22d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		22a						3	GBS	55200	11152416.36	4866666.667	23358.50714		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl273	adult	Mus musculus	5	V
GBS23d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		23a						3	GBS	738000	13095238.1	44719827.59	17986.33692		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl272	adult	Mus musculus	2	II
GBS24d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		24a						3	GBS	0					Clear		Clear	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl271	adult	Mus musculus	2	II
GBS25d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		25a						3	GBS	1002000					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl270	adult	Mus musculus	4	IV
GBS26d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		26a						3	GBS	606000					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl269	adult	Mus musculus	2	II
GBS27d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		27a						3	GBS	300000					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl268	adult	Mus musculus	4	IV
